date,time,location,humidity,cloud_cover,rain,pressure,tempC,pain,painType,painLoc,painRating
23/10/2018,10:10:57,"London,GB",71,12,0,1031,9,,,,
23/10/2018,11:10:00,"London,GB",66,12,0,1030,10.54,,,,
23/10/2018,13:10:00,"London,GB",54,8,0,1029,13.73,,,,
23/10/2018,15:10:00,"London,GB",55,0,0,1028,14.73,,,,
24/10/2018,13:30:00,"London,GB",77,36,0,1029,15.2,,,,
24/10/2018,16:30:00,"London,GB",63,0,0,1027,16.7,,,,
24/10/2018,19:30:00,"Cambridge,GB",100,1,0,1025,10.92,y,joint,right leg,5
24/10/2018,22:30:00,"Cambridge,GB",100,1,0,1025,8.18,y,joint,right leg,5
25/10/2018,01:30:00,"Cambridge,GB",100,1,0,1024,6.18,y,joint,right leg,5
25/10/2018,04:30:00,"Cambridge,GB",100,1,0,1022,4.32,,,,
25/10/2018,07:30:00,"Cambridge,GB",100,1,0,1022,4.14,,,,
25/10/2018,10:30:00,"London,GB",81,0,0,1024,8.45,,,,
25/10/2018,13:30:00,"London,GB",71,8,0,1022,11.9,y,joint,"left leg, left hip",3
25/10/2018,16:30:00,"London,GB",67,75,0,1020,12.54,,,,
25/10/2018,19:30:00,"Cambridge,GB",100,90,0,1018,11.87,,,,
25/10/2018,22:30:00,"Cambridge,GB",100,90,0,1016,10.84,,,,
26/10/2018,01:30:00,"Cambridge,GB",100,90,0,1014,9.72,,,,
26/10/2018,04:30:00,"Cambridge,GB",100,90,0,1011,9,,,,
26/10/2018,07:30:00,"Cambridge,GB",81,90,0,1009,9,,,,
26/10/2018,10:30:00,"Cambridge,GB",93,90,0,1009,8.99,,,,
26/10/2018,13:30:00,"Cambridge,GB",53,40,0,1009,9.89,,,,
26/10/2018,16:30:00,"Cambridge,GB",57,40,0,1009,8.63,,,,
26/10/2018,19:30:00,"Cambridge,GB",87,1,0,1010,6.23,,,,
26/10/2018,22:30:00,"Cambridge,GB",93,75,0,1011,5.73,,,,
27/10/2018,01:30:00,"Cambridge,GB",100,75,0,1011,4.86,,,,
27/10/2018,04:30:00,"Cambridge,GB",100,20,0,1011,3.75,,,,
27/10/2018,07:30:00,"Cambridge,GB",69,20,0,1012,2.88,,,,
27/10/2018,10:30:00,"Cambridge,GB",100,20,0,1012,3.25,,,,
27/10/2018,13:30:00,"Cambridge,GB",100,90,0,1012,6.11,,,,
27/10/2018,16:30:00,"Cambridge,GB",80,75,0,1014,4.62,,,,
27/10/2018,19:30:00,"Cambridge,GB",100,40,0,1015,4.26,,,,
27/10/2018,22:30:00,"Cambridge,GB",100,40,0,1015,4.57,,,,
28/10/2018,01:30:00,"Cambridge,GB",100,1,0,1016,3.58,,,,
28/10/2018,03:30:00,"Cambridge,GB",100,1,0,1017,4.61,,,,
28/10/2018,06:30:00,"Cambridge,GB",100,1,0,1019,5.02,,,,
28/10/2018,09:30:00,"Cambridge,GB",87,40,0,1021,5.62,,,,
28/10/2018,12:30:00,"Cambridge,GB",57,20,0,1020,9.4,,,,
28/10/2018,15:30:00,"Cambridge,GB",61,20,0,1019,8.86,,,,
